"DateTime","Pre Open SBINEQN","SBINEQN"
"2025-04-23 09:00:00",0,
"2025-04-23 09:00:01",822,
"2025-04-23 09:00:02",815.55,
"2025-04-23 09:00:04",821,
"2025-04-23 09:00:05",822.4,
"2025-04-23 09:00:06",822,
"2025-04-23 09:00:07",822.4,
"2025-04-23 09:00:08",821,
"2025-04-23 09:00:09",822,
"2025-04-23 09:00:10",820,
"2025-04-23 09:00:11",820,
"2025-04-23 09:00:12",820,
"2025-04-23 09:00:13",820,
"2025-04-23 09:00:14",820,
"2025-04-23 09:00:15",820,
"2025-04-23 09:00:17",820.4,
"2025-04-23 09:00:18",820.5,
"2025-04-23 09:00:19",820.5,
"2025-04-23 09:00:20",821,
"2025-04-23 09:00:21",821.5,
"2025-04-23 09:00:22",822,
"2025-04-23 09:00:23",822,
"2025-04-23 09:00:24",822,
"2025-04-23 09:00:25",822,
"2025-04-23 09:00:26",822,
"2025-04-23 09:00:27",822,
"2025-04-23 09:00:28",822,
"2025-04-23 09:00:29",822,
"2025-04-23 09:00:30",822.4,
"2025-04-23 09:00:31",822.4,
"2025-04-23 09:00:32",822.4,
"2025-04-23 09:00:33",822.4,
"2025-04-23 09:00:34",822.4,
"2025-04-23 09:00:35",822.4,
"2025-04-23 09:00:36",822.4,
"2025-04-23 09:00:37",822.4,
"2025-04-23 09:00:39",822.4,
"2025-04-23 09:00:40",822.4,
"2025-04-23 09:00:41",822.4,
"2025-04-23 09:00:42",822.4,
"2025-04-23 09:00:43",822.4,
"2025-04-23 09:00:44",822.4,
"2025-04-23 09:00:45",822.4,
"2025-04-23 09:00:46",822.4,
"2025-04-23 09:00:47",822.4,
"2025-04-23 09:00:48",822.4,
"2025-04-23 09:00:49",822.4,
"2025-04-23 09:00:50",822.4,
"2025-04-23 09:00:51",822.4,
"2025-04-23 09:00:52",822.4,
"2025-04-23 09:00:53",822.4,
"2025-04-23 09:00:54",822.4,
"2025-04-23 09:00:55",822.4,
"2025-04-23 09:00:56",822.4,
"2025-04-23 09:00:57",822.4,
"2025-04-23 09:00:58",822.4,
"2025-04-23 09:00:59",822.4,
"2025-04-23 09:01:00",822.4,
"2025-04-23 09:01:01",822.4,
"2025-04-23 09:01:02",822.4,
"2025-04-23 09:01:03",822.4,
"2025-04-23 09:01:04",822.4,
"2025-04-23 09:01:05",822.4,
"2025-04-23 09:01:07",822.4,
"2025-04-23 09:01:08",822.4,
"2025-04-23 09:01:09",822.4,
"2025-04-23 09:01:10",822.4,
"2025-04-23 09:01:11",822.7,
"2025-04-23 09:01:12",822.7,
"2025-04-23 09:01:13",822.7,
"2025-04-23 09:01:14",822.7,
"2025-04-23 09:01:15",822.7,
"2025-04-23 09:01:16",822.65,
"2025-04-23 09:01:17",822.7,
"2025-04-23 09:01:18",822.7,
"2025-04-23 09:01:19",822.7,
"2025-04-23 09:01:20",822.7,
"2025-04-23 09:01:21",822.7,
"2025-04-23 09:01:22",822.5,
"2025-04-23 09:01:23",822.95,
"2025-04-23 09:01:24",822.95,
"2025-04-23 09:01:25",822.95,
"2025-04-23 09:01:26",822.95,
"2025-04-23 09:01:27",822.95,
"2025-04-23 09:01:28",822.95,
"2025-04-23 09:01:29",822.95,
"2025-04-23 09:01:30",822.95,
"2025-04-23 09:01:31",822.95,
"2025-04-23 09:01:32",822.95,
"2025-04-23 09:01:33",822.95,
"2025-04-23 09:01:34",822.95,
"2025-04-23 09:01:35",822.95,
"2025-04-23 09:01:36",822.95,
"2025-04-23 09:01:37",823,
"2025-04-23 09:01:38",823,
"2025-04-23 09:01:39",823,
"2025-04-23 09:01:40",823,
"2025-04-23 09:01:41",823,
"2025-04-23 09:01:42",823,
"2025-04-23 09:01:43",823,
"2025-04-23 09:01:44",823,
"2025-04-23 09:01:45",823,
"2025-04-23 09:01:46",823,
"2025-04-23 09:01:47",823,
"2025-04-23 09:01:48",823,
"2025-04-23 09:01:49",823,
"2025-04-23 09:01:50",823,
"2025-04-23 09:01:51",823,
"2025-04-23 09:01:52",823,
"2025-04-23 09:01:53",823,
"2025-04-23 09:01:55",823,
"2025-04-23 09:01:56",822.95,
"2025-04-23 09:01:57",823,
"2025-04-23 09:01:58",823,
"2025-04-23 09:01:59",823,
"2025-04-23 09:02:00",822.4,
"2025-04-23 09:02:01",822.4,
"2025-04-23 09:02:02",822.7,
"2025-04-23 09:02:03",822.7,
"2025-04-23 09:02:04",822.7,
"2025-04-23 09:02:05",822.7,
"2025-04-23 09:02:06",822.7,
"2025-04-23 09:02:07",822.65,
"2025-04-23 09:02:08",822.55,
"2025-04-23 09:02:09",822.65,
"2025-04-23 09:02:10",822.4,
"2025-04-23 09:02:11",822.4,
"2025-04-23 09:02:12",822.4,
"2025-04-23 09:02:13",822.4,
"2025-04-23 09:02:15",822.4,
"2025-04-23 09:02:16",822.4,
"2025-04-23 09:02:17",822.4,
"2025-04-23 09:02:18",822.95,
"2025-04-23 09:02:19",823,
"2025-04-23 09:02:20",823,
"2025-04-23 09:02:21",823,
"2025-04-23 09:02:22",823,
"2025-04-23 09:02:23",823,
"2025-04-23 09:02:24",823,
"2025-04-23 09:02:25",823,
"2025-04-23 09:02:26",823,
"2025-04-23 09:02:27",823,
"2025-04-23 09:02:28",823,
"2025-04-23 09:02:29",823,
"2025-04-23 09:02:30",823,
"2025-04-23 09:02:31",823,
"2025-04-23 09:02:32",823,
"2025-04-23 09:02:33",823,
"2025-04-23 09:02:34",823,
"2025-04-23 09:02:35",823,
"2025-04-23 09:02:36",823,
"2025-04-23 09:02:37",823,
"2025-04-23 09:02:38",823,
"2025-04-23 09:02:39",823,
"2025-04-23 09:02:40",823,
"2025-04-23 09:02:41",823,
"2025-04-23 09:02:42",823,
"2025-04-23 09:02:43",823,
"2025-04-23 09:02:44",823,
"2025-04-23 09:02:45",823,
"2025-04-23 09:02:46",823,
"2025-04-23 09:02:47",823,
"2025-04-23 09:02:48",823,
"2025-04-23 09:02:49",822.95,
"2025-04-23 09:02:50",822.95,
"2025-04-23 09:02:51",822.95,
"2025-04-23 09:02:52",822.95,
"2025-04-23 09:02:53",822.95,
"2025-04-23 09:02:54",822.95,
"2025-04-23 09:02:55",822.95,
"2025-04-23 09:02:56",822.95,
"2025-04-23 09:02:57",822.95,
"2025-04-23 09:02:58",822.95,
"2025-04-23 09:02:59",822.95,
"2025-04-23 09:03:00",822.95,
"2025-04-23 09:03:01",823,
"2025-04-23 09:03:02",822.95,
"2025-04-23 09:03:03",822.95,
"2025-04-23 09:03:04",822.95,
"2025-04-23 09:03:06",822.95,
"2025-04-23 09:03:07",822.95,
"2025-04-23 09:03:08",822.95,
"2025-04-23 09:03:09",823,
"2025-04-23 09:03:10",823,
"2025-04-23 09:03:11",823,
"2025-04-23 09:03:12",823.05,
"2025-04-23 09:03:13",823.5,
"2025-04-23 09:03:14",823.5,
"2025-04-23 09:03:15",823.5,
"2025-04-23 09:03:16",823.5,
"2025-04-23 09:03:17",823.5,
"2025-04-23 09:03:18",823.5,
"2025-04-23 09:03:19",823.5,
"2025-04-23 09:03:20",823.5,
"2025-04-23 09:03:21",823.5,
"2025-04-23 09:03:22",823.5,
"2025-04-23 09:03:23",824,
